Value,Names
NFCSID,NFCSID
STATEQ,STATEQ
CENSUSDIV,CENSUSDIV
CENSUSREG,CENSUSREG
A3,Gender
A3Ar_w,AgeGroup
A3B,GenderAge
A4A_new_w,Ethn
A5_2012,Edu
A6,Marital
A7,Living
A7A,MaritalCohabit
A11,Children
A8,Inc
A9,Employ
A10,EmploySpouse
A10A,RetireStatus
X3,Version
Z4,MilRespond
A21,PTStudent
A22,School
A14,HHKnow
J1,FinConSat
J2,RiskPref
J3,SpendInc
J4,ExpDiff
J5,SaveEmer
J6,SaveCollege
J8,RetireCalc
J9,RetireCalcPre
J10,IncDrop
J11,CreditReport
J11,CreditScore
K_1,AdviceDebt
K_2,AdviceSaving
K_3,AdviceLoan
K_4,AdviceIns
K_5,AdviceTax
B11A,CheckCashing
B21,IncRec
B22_1,PayCash
B22_2,PayChecks
B22_3,PayCredit
B22_4,PayDebit
B22_5,PayPrepaid
B22_6,PayOnline
B22_7,PayMO
B22_8,PayMobile
B1,AcctChk
B2,AcctSav
B4,AcctOD
B23,AcctEver
B14,AcctInvest
C1_2012,RetirePlan
C2_2012,RetireEmplyr
C3_2012,RetireChoice
C4_2012,RetireSelf
C5_2012,RetireContribute
C10_2012,RetireLoan
C11_2012,RetireHardship
EA_1,HomeOwn
EA_2A,HomeOther
E7,HomeMtg
E8,HomeEquity
E20,HomeUnder
E15,HomeLate
E16,HomeFore
F1,DebtCC
F10,DebtCompare
G1,DebtAuto
G21,DebtStudent
G22,DebtStudentConcern
G23,DebtLevel
wgt_n2,Wnatl
wgt_d2,Wdiv
wgt_s3,Wstate
