rownames,Gender,AgeGroup,GenderAge,Ethn,Edu,Marital,Living,MaritalCohabit,Children,Inc,Employ,EmploySpouse,RetireStatus,Version,MilRespond,PTStudent,School,HHKnow,FinConSat,RiskPref,SpendInc,ExpDiff,SaveEmer,SaveCollege,RetireCalc,RetireCalcPre,IncDrop,CreditReport,CreditScore,Get2k,AdviceDebt,AdviceSaving,AdviceLoan,AdviceIns,AdviceTax,CheckCashing,AcctChk,AcctSav,AcctOD,AcctEver,AcctInvest,RetirePlan,RetireEmplyr,RetireChoice,RetireSelf,RetireContribute,RetireLoan,RetireHardship,SkillsFinance,SkillsMath,FinKnow,fined,finedhs,finedcollege,finedemployer,finedmilitary,finedtaught,finlitintrate,finlitinflation,finlitbondprices,finlitmortgage,finlitdivers,M6,M7,M8,M9,M10
98,,,,,,,,,,Don't Know,,,,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,Don't Know ,0,0,0,0,0
99,,,,,Prefer not to say,Prefer not to say,Prefer not to say,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,,,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,0,0,0,0,0
1,Male,18-24,Male 18-24,White Alone,Did not complete HS,Married,Only Adult,Married,1,"Less than $15,000",Self employed,Self employed,Non-retired household,Core,Respondent in Service,Yes,Four Year College or University,You ,1 - Not at All,1 - Not at All Willing,Spending less than income,Very difficult,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Certain Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Your Employer,Yes,Yes,Yes,Yes,Yes,1,1,1,"Yes, did not participate",Yes,Yes,Yes,Yes,Yes,More than 102,More than today,Rise,TRUE,TRUE,1,0,0,1,0
2,Female,25-34,Male 25-34,Non-White,HS Graduate -Diploma,Single,Live with SO,Living with Partner,2,"At least $15,000 but less than $25,000",Work full-time,Work full-time,Retired household-Respondent retired,Military,Spouse in Service,No,Two-Year Community College,Someone Else,2,2,Spending more than income,Somewhat difficult,No,No,No,No,No,No,No,Probably Yes,No,No,No,No,No,No,No,No,No,No,No,No,Your SO's Employer,No,No,No,No,No,2,2,2,"Yes, did participate",No,No,No,No,No,Exactly,Exactly the same,Fall,FALSE,FALSE,0,0,1,0,1
3,,35-44,Male 35-44,,HS Graduate - Ged/Alt,Separated,Live with Parents,Single,3,"At least $25,000 but less than $35,000",Work part-time,Work part-time,Retired household-Respondent not working and spouse retired,,,,"Vocational, Technical, or trade school",You and Someone Else Equially Knowledgable,3,3,Spending about equal to income,Not at all difficult,,,,,,,,Probably No,,,,,,,,,,,,,Both Your employer and Your SO's Employer,,,,,,3,3,3,No,,,,,,Less than 102,Less than today,Stay the Same,,,0,1,0,,
4,,45-54,Male 45-54,,Some College,Divorced,Live with other,,4 or more,"At least $35,000 but less than $50,000",Homemaker,Homemaker,,,,,,,4,4,,,,,,,,,,Certain No,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,There is No Relationship between Bond Prices and Interest Rates,,,,,0,,
5,,55-64,Male 55-64,,College Graduate,Widowed-widower,,,No Financially Dependent Children,"At least $50,000 but less than $75,000",Full-time student,Full-time student,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,65+,Male 65+,,Post Graduate Education,,,,Do not have any children,"At least $75,000 but less than $100,000","Permanently sick, disabled, or unable to work","Permanently sick, disabled, or unable to work",,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Female 18-24,,Masters,,,,,"At least $100,000 but less than $150,000",Unemployed or temporarily laid off,Unemployed or temporarily laid off,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Female 25-34,,Professional,,,,,"$150,000 or more",Retired,Retired,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
